class,support,predicted,precision,recall,f1
normal_baseline,17899,17804,0.9987643226241294,0.9934633219732946,0.9961067697392375
brute_force,9,12,0.6666666666666666,0.8888888888888888,0.761904761904762
impossible_travel,33,27,0.9629629629629629,0.7878787878787878,0.8666666666666665
credential_stuffing,83,84,0.9880952380952381,1.0,0.9940119760479043
lateral_movement,45,56,0.6785714285714286,0.8444444444444444,0.7524752475247526
device_spoofing,16,13,0.6153846153846154,0.5,0.5517241379310345
low_and_slow_exfiltration,13,102,0.09803921568627451,0.7692307692307693,0.1739130434782609
